Name,Campaigns,Segments,Newsletters,People,Last Updated,Sensitive
account_gorgias_subdomain,237,58,972,555585,2026-05-06T20:44:10Z,false
account_name,2,0,1,572047,2026-05-06T06:21:46Z,false
first_name,257,0,977,555892,2026-05-06T05:34:22Z,false
last_name,1,0,0,163010,1970-01-01T00:00:00Z,false
email,232,74,801,785688,2026-05-06T20:44:10Z,false
role,226,407,902,556738,2026-05-06T05:34:22Z,false
account_status,243,426,900,535746,2026-05-06T18:55:30Z,false
account_plan,106,227,380,508626,2026-05-06T20:50:03Z,false
account_lifecycle_bucket,1,1,0,164975,2026-05-06T20:52:02Z,false
account_first_activated_date,105,221,315,395837,2026-05-06T15:57:37Z,false
account_enabled_ai_agent,45,29,33,344618,2026-05-06T13:53:35Z,false
account_ai_agent_automation_rate_28,3,0,0,228610,2026-05-06T15:39:33Z,false
account_aao_automation_rate_28,13,4,11,471693,2026-05-06T15:58:12Z,false
account_aao_automation_rate_28_round,9,32,76,479515,2026-05-06T15:58:12Z,false
account_total_interactions_28,6,5,11,426076,2026-05-06T15:58:12Z,false
account_automated_interactions_28,1,1,1,416848,2026-05-06T15:58:12Z,false
account_ai_agent_guidances_published,4,2,1,246079,2026-05-06T13:53:37Z,false
account_ai_agent_guidances,0,0,0,246079,2026-05-06T13:53:37Z,false
account_ai_agent_most_configured_shop_name,1,0,0,44032,2026-05-06T15:39:31Z,false
account_ai_agent_knowledge_document_snippets,0,0,0,44007,2026-05-06T15:39:31Z,false
account_ai_agent_knowledge_store_website_snippets,1,0,0,44007,2026-05-06T15:39:31Z,false
account_nb_ai_agent_actions_enabled,2,2,0,83582,2026-05-06T13:53:33Z,false
account_automation_addon_subscription_status,105,231,229,337501,2026-05-06T20:51:18Z,false
account_automation_cancel_at,29,55,21,55769,2026-05-06T20:51:17Z,false
account_helpdesk_cancel_at,12,14,7,62478,2026-05-06T20:51:17Z,false
account_ecommerce_platform,39,49,123,463626,2026-05-06T15:53:53Z,false
account_fixed_gmv_band,71,44,31,256051,2026-05-06T20:51:27Z,false
account_arr,6,1,0,427639,2026-05-06T20:51:27Z,false
account_csm_first_name,24,4,31,408184,2026-05-06T20:51:30Z,false
account_csm_email,85,30,133,408182,2026-05-06T20:51:30Z,false
